title,dates,start_date,end_date,year span,description,person of interest,document type,publisher,subject,location,file type,identifier_old,identifier,source,type,format,rightsstatement,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Hugh Addington Folder,1976-05-04,1976-05-04,,1976 - 1976,"33 pages of family history documents containing and related to Hugh Addington; Olive Addington - including: Oral History Project with Hugh Addington, Olive Addington, Joe Bennett, Doug Jones",Hugh Addington; Olive Addington,oral histories;,,Mining; Pioneers; Sheep Ranch,Weiser; Council,Family History Files,Addington-Hugh,Addington-Hugh,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/0,0,1.pdf,/mccall/image/1.pdf,mccall0
Les Bechdel Folder,1996-06-20/1997-06-12,1996-06-20,1997-06-12,1996 - 1997,4 pages of family history documents containing and related to Les Bechdel - including: Guidefather; Rafting; Kayaking; news articles,Les Bechdel,newspaper clippings;,,Kayaker; Summer Sports,McCall; Payette River,Family History Files,Bechdel-Les,Bechdel-Les,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/1,1,10.pdf,/mccall/image/10.pdf,mccall1
Jim Farrell Folder,1994-03-09,1994-03-09,,1994 - 1994,"1 page of family history documents containing and related to Jim Farrell; Georgia Farrell; Robert ""Bob' Farrell - including: News article","Jim Farrell; Georgia Farrell; Robert ""Bob' Farrell",newspaper clippings;,,,Boise; McCall,Family History Files,Farrell-Jim-Georgia-and-Robert,Farrell-Jim-Georgia-and-Robert,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/2,2,100.pdf,/mccall/image/100.pdf,mccall2
Shannon Fausey Folder,1997-07-24/1999-01-01,1997-07-24,1999-01-01,1997 - 1999,3 pages of family history documents containing and related to Shannon Fausey; - including: Star News article; brochure; artist,Shannon Fausey;,newspaper clippings;,Star News;,Very Special Arts,Boise; McCall,Family History Files,Fausey-Shannon,Fausey-Shannon,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/3,3,101.pdf,/mccall/image/101.pdf,mccall3
Vardis Fisher Folder,1994-08-04/1996-06-17,1994-08-04,1996-06-17,1994 - 1996,7 pages of family history documents containing and related to Vardis Fisher; Opal Laurel Holmes; - including: News articles; author; obits,Vardis Fisher; Opal Laurel Holmes;,obituary;newspaper clippings;,,Mountain Man Writer; Dean of Western Novelists; Jeremiah Johnson,McCall,Family History Files,Fisher-Vardis,Fisher-Vardis,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/4,4,102.pdf,/mccall/image/102.pdf,mccall4
Tom Fleming Folder,1976-04-19/1976-09-30,1976-04-19,1976-09-30,1976 - 1976,24 pages of family history documents containing and related to Thomas E. Fleming; Ellen Stenberg Fleming; Margie Bowen; - including: Index; Oral History; obit,Thomas E. Fleming; Ellen Stenberg Fleming; Margie Bowen;,oral histories;obituary;,,Deadwood Mine; Mining; Callendar's Store; Tamarack,Stibnite,Family History Files,Fleming-Tom,Fleming-Tom,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/5,5,103.pdf,/mccall/image/103.pdf,mccall5
Harvey Edgar Florence Folder,1994-02-17,1994-02-17,,1994 - 1994,1 page of family history documents containing and related to Harvey Edgar Florence; Ida Jane Durrant Florence - including: Star News article,Harvey Edgar Florence; Ida Jane Durrant Florence,newspaper clippings;,Star News;,McCall Hotel,,Family History Files,Florence-Harvey-Edgar,Florence-Harvey-Edgar,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/6,6,104.pdf,/mccall/image/104.pdf,mccall6
Ella Eld Folder,1974-01-01/1984-01-01,1974-01-01,1984-01-01,1974 - 1984,10 pages of family history documents containing and related to Ella Eld; - including: Index; 1974 Mother of the Year Award; obit; Finnish; News articles,Ella Eld;,obituary;newspaper clippings;,,Finnish; Norwood,Donnelly,Family History Files,Eld-Ella,Eld-Ella,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-12-05,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/7,7,105.pdf,/mccall/image/105.pdf,mccall7
Galloway Family Folder,1888-07-08/1938-06-06,1888-07-08,1938-06-06,1888 - 1938,1 page of family history documents containing and related to Galloway Family - including: News article; family reunion,Galloway Family,newspaper clippings;,,,Weiser; McCall,Family History Files,Galloway-Family,Galloway-Family,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/8,8,106.pdf,/mccall/image/106.pdf,mccall8
Myrtle M. Gardner Folder,1884-09-23/1964-03-02,1884-09-23,1964-03-02,1884 - 1964,1 page of family history documents containing and related to Myrtle M. Gardner - including: obit,Myrtle M. Gardner,obituary;,,,Cascade,Family History Files,Gardner-Myrtle-M,Gardner-Myrtle-M,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/9,9,107.pdf,/mccall/image/107.pdf,mccall9
