objectid,title,date,issue,order,subject,description,creator,publisher,contributors,type,format,identifier,source,language,rights,rightsstatement,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path
hwhi_2006_fall,Here We Have Idaho: Fall 2006,2006,Fall,200604,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2006_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/83,83,59.pdf,/hwhi/image/59.pdf
hwhi_2007_winter,Here We Have Idaho: Winter 2007,2007,Winter,200701,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2007_winter,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/63,63,63.pdf,/hwhi/image/63.pdf
hwhi_2007_spring,Here We Have Idaho: Spring 2007,2007,Spring,200702,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2007_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/74,74,57.pdf,/hwhi/image/57.pdf
hwhi_2007_fall,Here We Have Idaho: Fall 2007,2007,Fall,200704,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2007_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/81,81,54.pdf,/hwhi/image/54.pdf
hwhi_2008_winter,Here We Have Idaho: Winter 2008,2008,Winter,200801,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2008_winter,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/85,85,89.pdf,/hwhi/image/89.pdf
hwhi_2008_spring,Here We Have Idaho: Spring 2008,2008,Spring,200802,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2008_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/88,88,66.pdf,/hwhi/image/66.pdf
hwhi_2008_fall,Here We Have Idaho: Fall 2008,2008,Fall,200804,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2008_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/90,90,94.pdf,/hwhi/image/94.pdf
hwhi_2009_winter,Here We Have Idaho: Winter 2009,2009,Winter,200901,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2009_winter,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/76,76,56.pdf,/hwhi/image/56.pdf
hwhi_2009_summer,Here We Have Idaho: Summer 2009,2009,Summer,200903,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2009_summer,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/66,66,87.pdf,/hwhi/image/87.pdf
hwhi_2009_fall,Here We Have Idaho: Fall 2009,2009,Fall,200904,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2009_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/57,57,52.pdf,/hwhi/image/52.pdf
