Title	Creator	Description	Date	Date is Approximate?	Source	Subject	Category	Coverage	Rights	Language	Digitization Specifications	Date Digital	Identifier	Publisher	Relation	Collection	Type	Media Type	Format	Ordering Information	Website	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Administration Building 1906		Dynamiting of walls of the Administration Building (1892-1906) after fire	1906		PG 1 University of Idaho Campus Photographs, 1-51	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-51-30a	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/10	10	108.jpg	/spec_uihp/image/108.jpg
Administration Building 1900		Administration Building (1892-1906)	1900		PG 1 University of Idaho Campus Photographs, 1-51	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-51-7	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/11	11	109.jpg	/spec_uihp/image/109.jpg
Commencement 1926		Band concert, commencement 1926.	1926		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-30	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/12	12	11.jpg	/spec_uihp/image/11.jpg
Administration Building 1909	Publication Department	Administration Building 1909	1909		PG 1 University of Idaho Campus Photographs, 1-52-81 to 1-55	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	180 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-52-91	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/13	13	110.jpg	/spec_uihp/image/110.jpg
Administration Building 1894	Rains, Jesse L.	Administration Building (1892-1906) shown against a reflecting pond, 1894.	1894		PG 1 University of Idaho Campus Photographs, 1-51	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	400 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-51-2a	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/14	14	111.jpg	/spec_uihp/image/111.jpg
Women's Gymnasium 1936		Women's Gymnasium 1936	1936		PG 1 University of Idaho Campus Photographs, 1-52-81 to 1-55	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-54-3	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/15	15	112.jpg	/spec_uihp/image/112.jpg
Gymnasium 1909		Interior view showing track sports; library housing	1909		PG 1 University of Idaho Campus Photographs, 1-52-81 to 1-55	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	170 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-54-6	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/16	16	113.jpg	/spec_uihp/image/113.jpg
Women's Gymnasium 1926	Hodgins	Women's Gymnasium	1926		PG 1 University of Idaho Campus Photographs, 1-52-81 to 1-55	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi rgb jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-54-9	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/17	17	114.jpg	/spec_uihp/image/114.jpg
Engineering Classroom 1920		Engineering Building (1901-1951) drafting lab 1920 [?]	1920		PG 1 University of Idaho Campus Photographs, 1-56 to 1-57	University of Idaho; University of Idaho -- Buildings -- Photographs;	Classrooms;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-56-21	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/18	18	115.jpg	/spec_uihp/image/115.jpg
Engneering Building 1903		Engineering Building	1903		PG 1 University of Idaho Campus Photographs, 1-56 to 1-57	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	160 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-56-4	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/19	19	116.jpg	/spec_uihp/image/116.jpg
Engineering Classroom Building 1950		Engineering Classroom Building during construction	1950		PG 1 University of Idaho Campus Photographs, 1-56 to 1-57	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	180 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-57-8	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/20	20	117.jpg	/spec_uihp/image/117.jpg
Ridenbaugh Hall 1901	Sterner	Student Bedroom in Ridenbaugh Hall 1901	1901		PG 1 University of Idaho Campus Photographs, 1-58 to 1-59	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	150 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-58-14	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/21	21	118.jpg	/spec_uihp/image/118.jpg
Ridenbaugh Hall 1901		Exterior of Ridenbaugh Hall 1901	1901		PG 1 University of Idaho Campus Photographs, 1-58 to 1-59	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-58-3	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/22	22	119.jpg	/spec_uihp/image/119.jpg
Commencement 1938		Dean Jeffers (Left) congratulating Richard H. Rutledge (right) after he received honorary degree.	1938		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-18	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/23	23	12.jpg	/spec_uihp/image/12.jpg
Ridenbaugh Hall 1901		Entrance Hall to Ridenbaugh Hall 1901	1901		PG 1 University of Idaho Campus Photographs, 1-58 to 1-59	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi rgb jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-58-7	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/24	24	120.jpg	/spec_uihp/image/120.jpg
Hays Hall 1936	Publication Department	Student Room in Hays Hall 1936	1936		PG 1 University of Idaho Campus Photographs, 1-58 to 1-59	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	280 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-59-11	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/25	25	121.jpg	/spec_uihp/image/121.jpg
Hays Hall 1926		Exterior of Hayse Hall, 1926	1926		PG 1 University of Idaho Campus Photographs, 1-58 to 1-59	University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	290 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-59-3	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Campus Photographs	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/26	26	122.jpg	/spec_uihp/image/122.jpg
