Title	Creator	Description	Date	Date is Approximate?	Source	Subject	Category	Coverage	Rights	Language	Digitization Specifications	Date Digital	Identifier	Publisher	Relation	Collection	Type	Media Type	Format	Ordering Information	Website	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Commencement 1939		John Brigham receiving honorary degree.	1939		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-11	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/0	0	1.jpg	/spec_uihp/image/1.jpg
Commencement 1924		Commencement procession entering Administration Building June 1924. Professor Dale mounting the steps, Gov. Moore (foreground) and President Upham. Prince Gelasio Caetani (facing camera) and Stanly Easton.	1924-06		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	300 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-21	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/1	1	10.jpg	/spec_uihp/image/10.jpg
Commencement 1968	Donor: Publications Department	Governor Don Samuelson Speaking at commencement 1968.	1968		PG 2 University of Idaho Student Organizations, 2-109-81 to 2-109-130	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	300 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-112	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/2	2	100.jpg	/spec_uihp/image/100.jpg
Commencement 1968		Governor Don Samuelson Speaking at commencement 1968.	1968		PG 2 University of Idaho Student Organizations, 2-109-81 to 2-109-130	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-112a	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/3	3	101.jpg	/spec_uihp/image/101.jpg
Commencement 1968		Governor Don Samuelson Speaking at commencement 1968.	1968		PG 2 University of Idaho Student Organizations, 2-109-81 to 2-109-130	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-112b	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/4	4	102.jpg	/spec_uihp/image/102.jpg
Administration Building 1891		Music Room in the Administration Building (1892-1906)	1891		PG 1 University of Idaho Campus Photographs, 1-51	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-51-23	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/5	5	103.jpg	/spec_uihp/image/103.jpg
Administration Building		Administration Building (1892-1909), interior of entrance hall showing museum	1900	y	PG 1 University of Idaho Campus Photographs, 1-51	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-51-22	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/6	6	104.jpg	/spec_uihp/image/104.jpg
Administration Building 1906		Fire destroying Administration Building (1892-1906)	1906-03-30		PG 1 University of Idaho Campus Photographs, 1-51	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-51-24a	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/7	7	105.jpg	/spec_uihp/image/105.jpg
Administration Building 1906		Administration Building (1892-1906) after the fire	1906		PG 1 University of Idaho Campus Photographs, 1-51	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-51-26	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/8	8	106.jpg	/spec_uihp/image/106.jpg
Administration Building 1906		Administration Building (1892-1906) after the fire	1906		PG 1 University of Idaho Campus Photographs, 1-51	University of Idaho -- Administration Building;  University of Idaho; University of Idaho -- Buildings -- Photographs;	Buildings;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.	2010-05	1-51-28	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/9	9	107.jpg	/spec_uihp/image/107.jpg
