colltitle,shorttitle,cdmtitle,Items,webitems,TSV File,Google Sheet,Data Validation,cpd entries,digital-archive-location,digital-archive-size,Type,Alpha,CDMID,Website,path,short_desc,Description,Subjects,MediaType,Location,Lat,Long,TimeStart,TimeEnd,Image,ImageLink,image-number,ImageTitle,width,height,menu,fusionmap,zoom
Agricultural Experiment &amp; UI Extension Publications,UI Extension,Agricultural and Extension Publications Collection,3462,2107,,,Complete,YES,,,Collection,Agricultural,ui_ep,https://www.lib.uidaho.edu/digital/uiext/,uiext,"Primary sources for practical, research-based information on Idaho Agriculture, Forestry, Gardening, and Family and Consumer Sciences","A collaboration between the Library and University of Idaho Extension, the University of Idaho Extension and Idaho Agricultural Experiment Station Publications collection features over 2000 publications that serve as the primary source for practical, research-based information on Idaho agriculture, forestry, gardening, family and consumer sciences, and other to links.",UIResearch; Agricultural; Environmental; Idaho; UI;,documents,"Idaho; Moscow, ID (Extension Offices); 42 counties and 12 research and extension centers in Idaho",46.728077,-117.020026,1892,2011,https://www.lib.uidaho.edu/digital/uiext/images/01ext.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/13209,13209,Idaho Potato Culture Clubs | Feb. 1912,200px,316px,table timeline subjects about,,
Arbor Notes Collection,Arbor Notes,Arbor Notes,57,57,Uploaded,Created,Complete,,,,AltCollection,Arbor,arbornotes,http://digital.lib.uidaho.edu/cdm/search/collection/arbornotes,arbornotes,A Newsletter of the (University of Idaho) Arboretum Associates,"A collection of newsletters pertaining to the University of Idaho's Arboretum and Botanical Garden, including reports, gardening tips, and other information.",UI;Campus,documents,"Moscow, ID (Arboretum)",46.722532,-117.014779,1980,2017,https://www.lib.uidaho.edu/digital/images/small/arbornotes.jpg,,,Arboretum in Fall,400px,300px,,,
Barnard-Stockbridge Photograph Collection,Barnard-Stockbridge,Barnard-Stockbridge Photograph Collection,1208,1208,Uploaded,Created,Complete,,,,Collection,Barnard,bar-stock,https://www.lib.uidaho.edu/digital/barstock/,barstock,"Historical Photographs of Northern Idaho Mines, Towns, and Scenery, 1894-1964","The Barnard-Stockbridge Collection exhibits over 1000 photographs, selected from over 200,000 nitrocellulose and glass plate negatives, taken by Nellie Stockbridge and T. N. Barnard during the years 1894-1964. The photos depict various aspects of life in the Wallace/Kellogg mining area.",Idaho; Mining; Fire;,images,"Wallace, ID; Kellogg, ID; Burke, ID; Mullan, ID; Wardner, ID; Cataldo, ID; Silver Valley area in Idaho; Coeur D&apos; Alene, ID; Lolo Pass, MT;",47.474095,-115.927939,1886,1964,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=bar-stock&amp;CISOPTR=405&amp;action=2&amp;DMSCALE=40&amp;DMWIDTH=512&amp;DMHEIGHT=450&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/barstock/id/405,405,"Hercules Mill, Burke (Idaho), 1907",400px,352px,table map timeline subjects all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,9
The Big Burn Collection,Big Burn,Big Burn Collection,65,65,Uploaded,Created,Completed: Rights updated,YES,,,Exhibit,Big,bigburn,https://www.lib.uidaho.edu/digital/bigburn/,bigburn,An exhibition of materials related to the 'Big Burn' fires of 1910,"The Big Burn Collection is an online exhibit of materials related to the &apos;Big Burn&apos; fires of 1910 that devastated much of Northern Idaho and Northwest Montana. The collection includes photographs, documents, first-person accounts, and oral histories pertaining to the fires and the local and national responses to them.",Idaho; Mining; Fire;,images,"Wallace, Idaho; Lolo Pass, Mont.; Selway-Bitterroot, Idaho",47.487853,-115.872459,1910,1910,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=bigburn&amp;CISOPTR=58&amp;action=2&amp;DMSCALE=12.89169&amp;DMWIDTH=600&amp;DMHEIGHT=600&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/bigburn/id/58,58,"Forest Fire - Wallace Idaho Aug 20, 1910 Men burned in the fire",275px,385px,,,
Donald R. Theophilus Boxing Photograph Collection,Boxing Collection,Donald R. Theophilus Boxing Photograph Collection,53,53,Uploaded,Created,"Complete: general cleanup of text and numbers; deleted empty ""OCLC Number"" field",,,,Collection,Boxing,boxing,https://www.lib.uidaho.edu/digital/boxing,boxing,"Photographs of University of Idaho Boxers and Boxing Teams, 1934 - 1953",A digital collection comprised of 52 photographs of boxers and boxing teams from the University of Idaho,UI; Idaho; Sports,images,"University of Idaho; Sacramento, California;",46.727485,-117.014185,1934,1953,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=boxing&amp;CISOPTR=5&amp;action=2&amp;DMSCALE=45&amp;DMWIDTH=512&amp;DMHEIGHT=482&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/boxing/id/5,5,1947-1948 University of Idaho boxing squad,400px,377px,timeline all,,
Bunker Hill Labor Collection,Bunker Hill,Bunker Hill Labor History Collection,463,463,Uploaded,Created,Complete,,,,Collection,Bunker,bunkerhill,https://digital.lib.uidaho.edu/cdm/landingpage/collection/bunkerhill,bunkerhill,463 letters of correspondence between the mangers and owners of the Bunker Hill Mine and Sullivan M. &amp; C. Co.,The Bunker Hill Labor History Collection is 463 letters of correspondence between the mangers and owners of the Bunker Hill Mine &amp; Sullivan M. &amp; C. Co.,Idaho; Mining; Labor;,documents; correspondence,"Wardner, ID",47.523164,-116.13419,1899,1902,https://www.lib.uidaho.edu/digital/bigburn/other/MG367-10-116j.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/bigburn/id/45,45,Forest Fire 1910 - Bunker Hill correspondence,400px,351px,,,
Mark Brooks Calnon Collection,Calnon Collection,Mark Calnon Collection,52,52,Uploaded,Created,Complete,,,,Collection,Calnon,calnon,https://www.lib.uidaho.edu/digital/calnon/index.html,calnon,"Materials from the life of Mark B. Calnon, World War II Pilot and Prisoner of War","The Mark Brooks Calnon Collection consists of estate materials from 2nd. Lt. Mark Brooks Calnon, including memorabilia relating to his experiences in World War II as a pilot and prisoner of war. The collection includes photographs, documents, an oral history (audio/video/transcript), and a copy of Calnon&apos;s book, Some Lived, Some Died It Was Understood. The collection was put together by Journalism and Mass Media Professor Denise Bennett as part of a Seed Grant funded project.",Idaho; Labor; War;,documents; images; audio; video,"Boise, ID; Germany",43.61349,-116.227996,1941,2013,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=calnon&amp;CISOPTR=15&amp;action=2&amp;DMSCALE=20&amp;DMWIDTH=912&amp;DMHEIGHT=512&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/calnon/id/15,15,B17 Crew Portrait,592px,474px,video interview all about,,
UI Campus Photograph Collection,Campus Collection,University of Idaho Campus Photographs Collection (PG1),3119,3119,Uploaded,Created,Completed: Rights fireld updated; Standardized Rights field added; sorted,,,,CampusCollection,Campus,pg1,https://www.lib.uidaho.edu/digital/campus/,campus,3000 historical photographs of the UI Campus from 1889 to the present,The University of Idaho Campus Photograph Collection contains over 3000 historical photographs of the UI Campus from 1889 to the present.,Campus; UI;,images,University of Idaho,46.728014,-117.011009,1889,2014,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=pg1&amp;CISOPTR=1288&amp;action=2&amp;DMSCALE=18.00000&amp;DMWIDTH=1000&amp;DMHEIGHT=1000&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/pg1/id/1288,1288,"Administration Building, University of Idaho from southeast. [52-4]",400px,315px,,,
Cattle Producer's Handbook Collection,Cattle Handbook,Cattle Producer's Handbook Collection,12,12,Uploaded,Created,"Complete - reformatted names, dates, general clean up - left the rights statements as is (seems unique?)",YES,,,AltCollection,Cattle,cattle,http://digital.lib.uidaho.edu/cdm/search/collection/cattle,cattle,Handbook prepared regularly by the Western Beef Resource Committee (WBRC),"The Cattle Producer's Handbook is prepared by the Western Beef Resource Committee (WBRC), which consists of beef specialists, economists, range scientists, animal nutritionists, county educators, and veterinarians from the Cooperative Extension System and cattle industry.",UIResearch; Agricultural; Environmental; Idaho; UI;,documents,"Twin Falls, ID",42.562404,-114.460263,2014,2018,https://www.lib.uidaho.edu/digital/images/small/cattle.jpg,na,,Image from Cow-Calf Management Guide Website,493px,113px,,,
Chatcolab NW Leadership Lab Collection,Chatcolab Collection,Chatcolab NW Leadership Lab,47,47,Uploaded,Created,Complete,,,,AltCollection,Chatcolab,chatcolab,https://www.lib.uidaho.edu/digital/chatcolab/,chatcolab,A collection of packets from the Chatcolet Northwest Leadership Lab,The Chatcolab Northwest Leadership Laboratory has been running each summer since 1949. Chatcolab offers a unique opportunity to build leadership by engaging in the creative planning and then sharing of a recreational experience. This collection of packets was donated by Bob Carver to the University of Idaho Library and digitized by the digital initiatives unit in 2017.,Idaho;Northwest;,documents,"Rathdrum, Idaho",47.877418,-116.856805,1949,1995,https://www.lib.uidaho.edu/digital/images/small/chatcolab.jpg,http://digital.lib.uidaho.edu/cdm/ref/collection/chatcolab/id/12,12,Chatcolab Packet 1968,400px,516px,table,,
