colltitle,shorttitle,cdmtitle,Items,webitems,TSV File,Google Sheet,Data Validation,cpd entries,digital-archive-location,digital-archive-size,Type,Alpha,CDMID,Website,path,short_desc,Description,Subjects,MediaType,Location,Lat,Long,TimeStart,TimeEnd,Image,ImageLink,image-number,ImageTitle,width,height,menu,fusionmap,zoom
Idaho Civilian Conservation Corps,CCC Collection,Idaho Civilian Conservation Corps,1749,1749,Uploaded,Created,Complete - Items 1220-1246 were shifted right 1 column,,,,Collection,Civilian,cccidaho,https://www.lib.uidaho.edu/digital/cccidaho/,cccidaho,"A collection of maps, images, and documents pertinent to the history of the CCC in Idaho","A collection of maps, images, and documents pertinent to the history of the CCC in Idaho representing the research discoveries of Patricia Hart and Ivar Nelson, who spent over two years traveling across the state to find and scan materials related to the CCC.",Idaho; Fire; Forests; Wilderness,images; documents; links; maps;,Idaho,47.012456,-116.265435,1933,1942,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=cccidaho&amp;CISOPTR=0&amp;action=2&amp;DMSCALE=33&amp;DMWIDTH=400&amp;DMHEIGHT=315&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0&amp;DMID,https://digital.lib.uidaho.edu/cdm/ref/collection/cccidaho/id/0,0,Camp Deep Creek,400px,315px,map subjects timeline all about,1fOsHOjuTQA1pW8Nq9yxmUpvhh5fnzr1odi9KfpK3,
Columbia River Basin Project - PNW Dam Construction,Coulee Dam Collection,Columbia River Basin Project - Dam Construction in the Pacific Northwest,456,456,Uploaded,Created,Complete,,,,Collection,Columbia,crbproj,https://www.lib.uidaho.edu/digital/crbp/,crbp,"Historical photographs of Grand Coulee Dam and Columbia River Basin Project construction, 1933-1965","Digitized photographs pertaining to the Columbia Basin Project. Special emphasis is placed on the construction of Grand Coulee Dam, the canal systems of Central Washington, and numerous other dams in the Inland Northwest.",Dams; Construction Water; Northwest;,images,"Grand Coulee, WA; Canal systems of Central Washington",47.959223,-118.974938,1933,1965,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=crbproj&amp;CISOPTR=1040&amp;action=2&amp;DMSCALE=15&amp;DMWIDTH=512&amp;DMHEIGHT=460&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/crbproj/id/1040,1040,Man stands on siphon,400px,359px,table map timeline all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,8
Digital Scholarship Collection,Digital Scholarship,Digital Scholarship Collection,4,4,Uploaded,Created,Complete,,,,AltCollection,Digital,digschol,https://digital.lib.uidaho.edu/cdm/search/collection/digschol,digschol,Website records of past digital scholarship at the University of Idaho,Website records of past digital scholarship at the University of Idaho,UIResearch,urls,University of Idaho,46.728014,-117.011009,2000,2015,,na,,,na,na,,,
Dworshak Dam Collection,Dworshak Dam,Dworshak Dam Collection,501,501,Uploaded,Created,Complete - Removed compound objects,YES,,,Collection,Dworshak,dworshak,https://www.lib.uidaho.edu/digital/dworshak/,dworshak,"Documenting the Development and Construction of the Doworshak Dam, 1952 - 1975","Digitized photographs and documents pertaining to the planning, development and construction of the Dworshak Dam, featuring documents and photographs detailing both the legislative and physical development of the dam.",Dams; Construction; Water; Northwest; Idaho; Maps;,documents; correspondence; images,"Dworshak Dam, Idaho",46.515697,-116.296881,1952,1973,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=dworshak&amp;CISOPTR=552&amp;action=2&amp;DMSCALE=30&amp;DMWIDTH=456&amp;DMHEIGHT=366&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/dworshak/id/552,552,Aerial view of clearwater river before construction of Dworshak Dam,400px,321px,map timeline subjects all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,11
Experimental Forest and Savenac Nursery Photo Archive,Exp. Forest Photos,Experimental Forests and Savenac Nursery Photo Archive,848,848,Uploaded,Created,Complete - one item was cell shifted to the left,,,,Collection,Experimental,expforsav,https://www.lib.uidaho.edu/digital/expforest/,expforest,"Historical photographs of Experimental Forests and Savenac Nursery in Northern Idaho and Northwestern Montana, 1910 - 1989","The Experimental Forest and Savenac Nursery Photo Archive contains photographs related to or depicting the establishment of two Forest Service Experimental Forests in north Idaho, Priest River and Deception Creek, and the Savenac Nursery in Montana.",Forests; Idaho; Northwest; Fire,images,"Priest River, Idaho; Deception Creek, Idaho; Savenac Nursery, Montana",48.571027,-116.823399,1910,1989,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=expforsav&amp;CISOPTR=232&amp;action=2&amp;DMSCALE=20&amp;DMWIDTH=481&amp;DMHEIGHT=361&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/expforsav/id/232,232,Interior view of thinning in 65-year western white pine.,400px,300px,map timeline all about,1dNyxWpPXdrA4qX-dZTEhJWdPtDUWC_7N0gODA9w,8
"Family Tree Collection, a Potlatch Forests, Inc. Newsletter",Family Tree Collection,"Family Tree Collection, a Potlatch Forests, Inc. Newsletter",180,180,Uploaded,Created,Completed: Removed Compund Object pages; Updated Rights/Standardized Rights fields;,YES,,,Collection,Family,spec_pot,https://www.lib.uidaho.edu/digital/FamilyTree/,familytree,"A Potlatch Forests, Inc. Newsletter Published from 1936-1952","The Family Tree was a newsletter published by Potlatch Forests, Inc. for their employees from 1936 - 1952. The newsletter covers local (Potlatch area) and national events, with a special focus on issues pertaining to Potlatch Forests and its loggers and other employees.",Idaho; Forests; Potlatch,documents,"Potlatch, ID",46.921354,-116.903071,1936,1952,https://www.lib.uidaho.edu/digital/FamilyTree/5009a.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_pot/id/1149,1149,"The Family Tree - 1947, September",294px,400px,timeline about,,
Finding Aids (EAD),Finding Aids,Finding Aids,1106,425,Uploaded,Created,Completed: No Right/Standardized Rights Field,,,,AltCollection,Finding,spec_fa,https://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_fa,spec_fa,University of Idaho Library Special Collections and Archives Guides and Descriptions,Finding Aids are guides to the physical collections held by the Library&apos;s Special Collections &amp; Archives Department. All material mentioned in these guides can be read or examined by request. See here for more information about accessing these materials.,UI; Idaho; Mining;,documents,"Moscow, ID (Library)",46.72748,-117.01396,1889,2011,,na,,,,,,,
Stanton Gilbert Fisher Collection,Fisher Collection,Stanton Gilbert Fisher Collection,50,50,Uploaded,Created,Complete: removed compound objects,YES,,,AltCollection,Fisher,fisher,https://digital.lib.uidaho.edu/cdm/landingpage/collection/fisher,fisher,"Writings and memorabilia of Stanton Gilbert Fisher, pioneer and Nez Perce War scout, 1840-1915","Writings and memorabilia of Stanton Gilbert Fisher, pioneer and Nez Perce War scout, 1840-1915. Most of the documents are Nez Perce War collectibles, such as maps, photographs and accounts of the war and its participants. The rest of the papers are personal materials related to Fisher, including autobiographical materials as well as the correspondence and census records of several of his family members.",Northwest; NativeAmericans,documents; images; clippings,"Central Idaho; Beaverhead National Forest, Montana; Whitebird battleground",45.742401,-116.310539,1840,1915,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=fisher&amp;CISOPTR=290&amp;action=2&amp;DMSCALE=65&amp;DMWIDTH=300&amp;DMHEIGHT=473&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/fisher/id/290,290,Colonel J. W. Redington,254px,400px,,,
Idaho Football Covers Collection,Gameday Covers,Vandal Football Program Covers Collection,148,148,Uploaded,Created,Complete,,,,Collection,Football,football,https://www.lib.uidaho.edu/digital/footballcovers/,footballcovers,"50+ Years worth of Vandal Football Gameday Program Covers, 1908 - 1967",The Idaho Vandals Football Historical Game day Program Covers Collection consists of over 50 years worth of game day program covers (1908-1967) produced for football contests that took place all over the country.,UI; Idaho; Sports,images,University of Idaho (MacLean Field &amp; Neale Stadium); Arizona; California; Montana; West Point (New York); North Dakota; Oregon; Utah; WSU &amp; UW (Washington),46.727012,-117.01645,1908,1967,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=football&amp;CISOPTR=60&amp;action=2&amp;DMSCALE=25&amp;DMWIDTH=290&amp;DMHEIGHT=407&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/football/id/60,60,UI vs. Farragut,285px,400px,map timeline all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,4
Idaho Forest Wildlife and Range Experiment Station Collection,Forest Wildlife + Range,Idaho Forest Wildlife and Range Experiment Station,233,77,Uploaded,Created,Completed: updated Rights field,,,,Collection,Forest,fwres,https://www.lib.uidaho.edu/digital/fwres/,fwres,"UI-led research on topics ranging from Idaho&apos;s forests and hydrology to rangeland, fisheries, and wildlife, published from 1954 to the present","Over 200 documents and reports created by faculty in the UI Foestry Department of the College of Natural Resources, 1954 to the present",Forests; Idaho; Northwest; UI; Water; Rangeland; Wilderness,images,"Moscow, ID",46.72929,-117.012801,1954,2014,https://www.lib.uidaho.edu/digital/fwres/covers/uifwre-fnrrv7_p001.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/fwres/id/4,4,Focus on Renewable Natural Resources Fiscal 1981 Annual Report,296px,400px,table timeline subjects about,,
The Idaho Forester Collection,Forester Collection,The Idaho Forester Collection,77,233,Uploaded,Created,Complete: removed compound objects,YES,,,Collection,Forester,forester,https://www.lib.uidaho.edu/digital/forester/,forester,"The University of Idaho Forestry Department&apos;s Annual, 1917 - 1997","The Idaho Forester was published annually from 1917 - 1997 by the University of Idaho&apos;s forestry program. The journal combines research articles, UI program activities information, and analysis of the forest products industry, formerly the dominant industry in Northern Idaho. The collection was developed with the support of a Project Ceres Grant from the Center for Research Libraries and the United States Agricultural Information Network.",Forests; Idaho; Northwest; UI,documents,"Moscow, ID",46.729399,-117.012629,1917,1997,https://www.lib.uidaho.edu/digital/forester/covers/idahoforester_1935_001.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/forester/id/1104,1104,The Idaho Forester - 1935 (Vol. 17),260px,400px,table subjects about,,
Idaho Forestry Research Collection,Forestry Research,Idaho Forestry Research Collection,478,478,Uploaded,Created,Complete: Updated Rights field; added Standardized Rights field; removed PDF pages,YES,,,AltCollection,Forestry,forestryresearch,https://digital.lib.uidaho.edu/cdm/search/collection/forestryresearch,forestryresearch,Documents and images from miscellaneous collections pertaining to the history of forestry in Idaho,Documents and images from miscellaneous collections pertaining to the history of forestry in Idaho,Forests; Idaho; Northwest; UI,documents; images,Idaho,46.926875,-116.501427,1911,1983,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=forestryresearch&amp;CISOPTR=49&amp;action=2&amp;DMSCALE=20&amp;DMWIDTH=400&amp;DMHEIGHT=315&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0&amp;DMID,https://digital.lib.uidaho.edu/cdm/singleitem/collection/forestryresearch/id/49/rec/40,49,DDT Application,400px,315px,,,
Fugue Literary Journal Collection,Fugue Collection,Fugue Literary Journal Collection,4300,38,Uploaded,Created,Corey in progress,YES,,,Journal,Fugue,fugue,https://digital.lib.uidaho.edu/cdm/landingpage/collection/fugue,fugue,The official literary journal of the University of Idaho&apos;s English Department,Fugue is the official literary journal of the University of Idaho&apos;s English Department.,UIResearch; UI,documents; images,University of Idaho (English Department),46.728091,-117.012692,1990,2013,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=fugue&amp;CISOPTR=3685&amp;action=2&amp;DMSCALE=35&amp;DMWIDTH=287&amp;DMHEIGHT=442&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/fugue/id/3889,3889,"Fugue Summer-Fall, Fall 2010 (No. 39)",260px,400px,,,
Gem of the Mountains Digital Yearbook Collection,Gem Collection,Gem of the Mountains Digital Yearbook Collection,102,102,Uploaded,Created,Complete,YES,,,CampusCollection,Gem,gem,https://www.lib.uidaho.edu/digital/gem/,gem,The official yearbook of the University of Idaho from 1903 to 2004,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,UI; Campus,documents; images,University of Idaho (Library),46.727332,-117.012296,1903,2004,https://www.lib.uidaho.edu/digital/img/gem.png,https://www.lib.uidaho.edu/digital/gem/,,Collection Home Page,400px,267px,,,
Guided Reading Library,Guided Reading,Guided Reading Library,122,122,Uploaded,Created,Completed: Rights statement; Stanardized rights field added; ,YES,,,AltCollection,Guided,guidedread,https://www.lib.uidaho.edu/digital/guidedreading/index.html,guidedreading,"A library of guided reading material from the University of Idaho College of Education, curated by Margaret Vaughn","The Guided Reading Library is a digital collection of short books created by students in the University of Idaho&apos;s College of Education. This library is directed by Margaret Vaughn, in collaboration with the Digital Inititiaves department of the University of Idaho Library.",UI; Education;,documents; audio,University of Idaho,46.725896,-117.012357,2013,2016,https://www.lib.uidaho.edu/digital/images/guidedreading.png,https://www.lib.uidaho.edu/digital/guidedreading/library/Bread.html,,Facts about Bread,na,na,,,
Robert E. Higgins Collection,Higgins Collection,Robert E. Higgins Collection,42,42,Uploaded,Created,Completed,,,,Collection,Higgins,higgins,https://www.flickr.com/photos/idahodigital/sets/72157626093899947/,higgins,"A collection of photographs by Robert E. Higgins, a professor of plant science at the University of Idaho from 1946 to 1999","A collection of photographs by Robert E. Higgins, a professor of plant science at the University of Idaho from 1946 to 1999. During his lifetime, Professor Higgins&apos; photographs were accepted in over 70 juried international salons, and he had one-artist exhibitions in Idaho, Washington, and California.",Idaho,images,Idaho,46.72756,-117.01412,1946,1999,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=higgins&amp;CISOPTR=13&amp;action=2&amp;DMSCALE=35&amp;DMWIDTH=512&amp;DMHEIGHT=800&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/higgins/id/13,13,Pioneer,260px,400px,,,
Idaho Cities &amp; Towns,Idaho Cities,Idaho Cities and Towns,1083,1083,Uploaded,Created,Complete: Rights statement updated; Standardized Rights field added.,,,,Collection,Idaho Cities,cities,https://www.lib.uidaho.edu/digital/cities/,cities,"From Aberdeen to Yellow Dog - Historical Photos of 134 Cities and Towns, 1862 - 1998",The 1083 historical photographs in the Idaho Cities &amp; Towns collection document Idaho cities and towns from the mid 1800s to the end of the twentieth century.,Idaho,images,Idaho,46.826007,-116.613768,1862,1998,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=cities&amp;CISOPTR=30&amp;action=2&amp;DMSCALE=50&amp;DMWIDTH=467&amp;DMHEIGHT=291&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/cities/id/30,30,"Sunday School group standing in front of church building in Avon, Idaho.",400px,249px,map timeline all subjects about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,7
Idaho Historical Aerial Photographs,Historical Aerial Photos,Idaho Historical Aerial Photographs,2021,2021,Uploaded,Created,Complete,,,,AltCollection,Idaho Historical Aerial,uiiap,https://www.lib.uidaho.edu/digital/maps/aerial.html,aerial,Historic air photos of Idaho from 1927 to the 1980s,The Idaho Historical Aerial Photographs are a collection of both oblique and vertical historic air photos ranging from 1927 to the 1980s.,Idaho; Maps; Forests; Water,images,Northern Idaho,47.431308,-116.92337,1927,1953,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=uiiap&amp;CISOPTR=1366&amp;action=2&amp;DMSCALE=40&amp;DMWIDTH=512&amp;DMHEIGHT=439&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/uiiap/id/1366,1366,"Harrison, Lake Coeur D&apos;Alene",325px,279px,,,
Idaho Historical Maps,Idaho Maps,Idaho Historical Maps,9,9,Uploaded,Created,Completed: RIghts Statement updated Standardized Rights statement added,,,,AltCollection,Idaho Historical Maps,spec_hm,https://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_hm,spec_hm,"A small collection of large historic maps, 1887-1984","A small collection of large maps that depict the Coeur D&apos;Alene mining region, covering areas of Montana and Idaho (Shoshone County). These maps come from the Bunker Hill Mining Company Records, 1887-1984, a manuscript collection held by the University of Idaho Library&apos;s Special Collections &amp; Archives department.",Idaho; Northwest; Maps; Mining,images,Shoshone County Idaho; Wallace; Kellogg; Burke; Silver Valley; Mullan; Wardner,47.686824,-116.726818,1863,1951,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=spec_hm&amp;CISOPTR=7&amp;action=2&amp;DMSCALE=5.47120&amp;DMWIDTH=600&amp;DMHEIGHT=600&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;REC=6&amp;DMTHUMB=1&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_hm/id/7,7,Coeur D&apos;Alene National Forest,313px,279px,,,
